**** trial 0 ****
0 at: 2.95  st: 2.95  vt: 23.23  dt: 26.18
1 at: 4.98  st: 26.18  vt: 2.96  dt: 29.13
2 at: 6.65  st: 29.13  vt: 4.97  dt: 34.11
3 at: 11.22  st: 34.11  vt: 3.55  dt: 37.66
4 at: 11.46  st: 37.66  vt: 12.81  dt: 50.47
5 at: 16.49  st: 50.47  vt: 10.58  dt: 61.05
6 at: 19.59  st: 61.05  vt: 4.03  dt: 65.08
7 at: 19.91  st: 65.08  vt: 5.01  dt: 70.09
8 at: 20.36  st: 70.09  vt: 8.48  dt: 78.57
9 at: 22.67  st: 78.57  vt: 9.24  dt: 87.81
10 at: 25.65  st: 87.81  vt: 6.15  dt: 93.96
11 at: 27.35  st: 93.96  vt: 1.05  dt: 95.01
12 at: 28.06  st: 95.01  vt: 0.65  dt: 95.66
13 at: 28.38  st: 95.66  vt: 0.08  dt: 95.74
14 at: 29.34  st: 95.74  vt: 1.46  dt: 97.20
15 at: 29.88  st: 97.20  vt: 1.46  dt: 98.66
16 at: 33.17  st: 98.66  vt: 11.52  dt: 110.18
17 at: 35.83  st: 110.18  vt: 17.92  dt: 128.10
18 at: 36.26  st: 128.10  vt: 11.98  dt: 140.08
19 at: 37.51  st: 140.08  vt: 3.95  dt: 144.03
20 at: 37.77  st: 144.03  vt: 33.46  dt: 177.50
21 at: 37.91  st: 177.50  vt: 2.82  dt: 180.31
22 at: 38.16  st: 180.31  vt: 10.25  dt: 190.56
23 at: 39.27  st: 190.56  vt: 1.70  dt: 192.27
24 at: 45.62  st: 192.27  vt: 11.95  dt: 204.22
25 at: 45.89  st: 204.22  vt: 0.65  dt: 204.87
26 at: 49.31  st: 204.87  vt: 5.28  dt: 210.15
27 at: 50.47  st: 210.15  vt: 16.86  dt: 227.01
28 at: 50.58  st: 227.01  vt: 22.66  dt: 249.67
29 at: 50.85  st: 249.67  vt: 20.22  dt: 269.89
30 at: 53.08  st: 269.89  vt: 23.26  dt: 293.15
31 at: 53.17  st: 293.15  vt: 21.21  dt: 314.36
