**** trial 0 ****
87 at: 2.88  st: 2.88  vt: 10.66  dt: 13.54
88 at: 13.60  st: 13.60  vt: 8.84  dt: 22.44
89 at: 23.92  st: 23.92  vt: 6.18  dt: 30.09
90 at: 25.33  st: 25.33  vt: 1.74  dt: 27.07
91 at: 29.26  st: 29.26  vt: 15.61  dt: 44.87
92 at: 44.42  st: 44.42  vt: 3.24  dt: 47.66
93 at: 45.63  st: 45.63  vt: 37.38  dt: 83.01
94 at: 51.58  st: 51.58  vt: 6.24  dt: 57.82

**** trial 1 ****
96 at: 0.66  st: 0.66  vt: 23.45  dt: 24.11
97 at: 7.61  st: 7.61  vt: 27.10  dt: 34.71
98 at: 26.20  st: 26.20  vt: 14.34  dt: 40.54
99 at: 32.54  st: 32.54  vt: 13.72  dt: 46.26
100 at: 35.11  st: 35.11  vt: 10.67  dt: 45.78
101 at: 40.98  st: 40.98  vt: 5.59  dt: 46.57
102 at: 47.85  st: 47.85  vt: 8.02  dt: 55.87
103 at: 51.86  st: 51.86  vt: 4.65  dt: 56.50

**** trial 2 ****
105 at: 16.89  st: 16.89  vt: 3.04  dt: 19.92
106 at: 18.38  st: 18.38  vt: 13.16  dt: 31.55
107 at: 25.19  st: 25.19  vt: 35.44  dt: 60.63
108 at: 43.90  st: 43.90  vt: 14.38  dt: 58.28
109 at: 44.54  st: 44.54  vt: 0.80  dt: 45.33
110 at: 49.37  st: 49.37  vt: 4.57  dt: 53.94
111 at: 53.35  st: 53.35  vt: 1.81  dt: 55.16
112 at: 56.60  st: 56.60  vt: 6.35  dt: 62.95

