107 at: 155.94  st: 155.94  vt: 0.38  dt: 156.33
106 at: 153.55  st: 153.90  vt: 3.29  dt: 157.20
99 at: 149.04  st: 149.04  vt: 9.03  dt: 158.08
103 at: 152.74  st: 152.74  vt: 6.65  dt: 159.39
104 at: 152.89  st: 152.89  vt: 8.82  dt: 161.71
110 at: 159.79  st: 159.79  vt: 3.19  dt: 162.98
105 at: 152.93  st: 152.93  vt: 14.90  dt: 167.83
81 at: 117.49  st: 117.49  vt: 50.63  dt: 168.12
109 at: 158.13  st: 158.13  vt: 12.31  dt: 170.43
111 at: 166.69  st: 166.69  vt: 4.67  dt: 171.36
114 at: 170.45  st: 170.45  vt: 1.82  dt: 172.26
108 at: 157.56  st: 157.56  vt: 17.85  dt: 175.40
116 at: 175.54  st: 175.54  vt: 1.76  dt: 177.29
119 at: 177.31  st: 177.31  vt: 0.62  dt: 177.93
101 at: 150.93  st: 150.93  vt: 27.98  dt: 178.92
115 at: 174.54  st: 174.54  vt: 4.42  dt: 178.96
113 at: 170.36  st: 170.36  vt: 11.52  dt: 181.88
118 at: 177.12  st: 177.12  vt: 5.71  dt: 182.83
123 at: 181.59  st: 181.59  vt: 10.58  dt: 192.17
117 at: 176.27  st: 176.27  vt: 16.12  dt: 192.39
125 at: 182.83  st: 182.83  vt: 10.39  dt: 193.22
127 at: 187.48  st: 192.39  vt: 1.11  dt: 193.50
128 at: 187.51  st: 193.22  vt: 0.37  dt: 193.59
129 at: 188.91  st: 193.50  vt: 0.24  dt: 193.75
126 at: 185.33  st: 192.17  vt: 2.03  dt: 194.20
130 at: 189.67  st: 193.59  vt: 2.10  dt: 195.69
122 at: 180.28  st: 180.28  vt: 16.32  dt: 196.60
112 at: 168.78  st: 168.78  vt: 29.82  dt: 198.60
135 at: 194.85  st: 198.60  vt: 2.72  dt: 201.32
124 at: 181.85  st: 181.88  vt: 20.14  dt: 202.02
134 at: 192.53  st: 196.60  vt: 5.83  dt: 202.44
137 at: 195.49  st: 202.02  vt: 8.79  dt: 210.81
138 at: 195.65  st: 202.44  vt: 8.94  dt: 211.37
132 at: 190.38  st: 194.20  vt: 17.33  dt: 211.53
121 at: 179.25  st: 179.25  vt: 34.24  dt: 213.48
140 at: 201.09  st: 211.37  vt: 3.22  dt: 214.59
131 at: 190.15  st: 193.75  vt: 20.97  dt: 214.72
120 at: 178.03  st: 178.03  vt: 36.73  dt: 214.76
142 at: 201.28  st: 213.48  vt: 5.67  dt: 219.15
136 at: 194.97  st: 201.32  vt: 17.91  dt: 219.22
146 at: 208.56  st: 219.15  vt: 1.51  dt: 220.66
147 at: 212.24  st: 219.22  vt: 3.06  dt: 222.28
149 at: 214.70  st: 222.28  vt: 1.26  dt: 223.54
145 at: 205.71  st: 214.76  vt: 11.30  dt: 226.06
148 at: 213.10  st: 220.66  vt: 6.24  dt: 226.89
143 at: 202.27  st: 214.59  vt: 15.56  dt: 230.15
133 at: 192.17  st: 195.69  vt: 34.84  dt: 230.53
150 at: 216.87  st: 223.54  vt: 9.15  dt: 232.69
153 at: 221.64  st: 230.15  vt: 2.68  dt: 232.83
139 at: 196.20  st: 210.81  vt: 23.36  dt: 234.17
141 at: 201.12  st: 211.53  vt: 24.05  dt: 235.58
157 at: 226.90  st: 234.17  vt: 3.73  dt: 237.90
159 at: 231.41  st: 237.90  vt: 0.35  dt: 238.25
156 at: 224.22  st: 232.83  vt: 6.38  dt: 239.21
160 at: 233.30  st: 238.25  vt: 2.90  dt: 241.14
162 at: 234.12  st: 241.14  vt: 0.48  dt: 241.63
144 at: 203.10  st: 214.72  vt: 30.38  dt: 245.09
163 at: 235.38  st: 241.63  vt: 6.85  dt: 248.48
154 at: 222.74  st: 230.53  vt: 18.01  dt: 248.54
152 at: 220.89  st: 226.89  vt: 22.47  dt: 249.37
155 at: 222.76  st: 232.69  vt: 17.19  dt: 249.88
158 at: 226.97  st: 235.58  vt: 14.51  dt: 250.09
167 at: 242.19  st: 249.37  vt: 1.36  dt: 250.73
151 at: 218.93  st: 226.06  vt: 25.11  dt: 251.16
164 at: 239.40  st: 245.09  vt: 6.07  dt: 251.17
161 at: 233.61  st: 239.21  vt: 14.13  dt: 253.33
166 at: 241.86  st: 248.54  vt: 5.05  dt: 253.59
165 at: 241.08  st: 248.48  vt: 8.07  dt: 256.54
172 at: 250.22  st: 251.17  vt: 5.59  dt: 256.75
175 at: 253.46  st: 256.54  vt: 0.26  dt: 256.81
171 at: 245.73  st: 251.16  vt: 6.29  dt: 257.46
169 at: 244.19  st: 250.09  vt: 7.51  dt: 257.60
174 at: 252.57  st: 253.59  vt: 7.16  dt: 260.75
177 at: 259.82  st: 259.82  vt: 6.34  dt: 266.16
173 at: 251.97  st: 253.33  vt: 13.53  dt: 266.87
179 at: 268.43  st: 268.43  vt: 0.31  dt: 268.74
181 at: 268.98  st: 268.98  vt: 1.15  dt: 270.13
178 at: 268.27  st: 268.27  vt: 5.93  dt: 274.20
170 at: 245.04  st: 250.73  vt: 23.53  dt: 274.26
183 at: 270.66  st: 270.66  vt: 7.39  dt: 278.05
184 at: 273.63  st: 273.63  vt: 4.79  dt: 278.42
168 at: 243.57  st: 249.88  vt: 37.97  dt: 287.85
187 at: 279.69  st: 279.69  vt: 9.22  dt: 288.91
188 at: 280.64  st: 280.64  vt: 9.50  dt: 290.14
182 at: 269.84  st: 269.84  vt: 20.39  dt: 290.23
189 at: 285.52  st: 287.85  vt: 5.03  dt: 292.88
193 at: 292.58  st: 292.88  vt: 0.16  dt: 293.04
176 at: 254.89  st: 256.75  vt: 37.41  dt: 294.17
191 at: 290.93  st: 290.93  vt: 5.75  dt: 296.68
195 at: 296.59  st: 296.59  vt: 0.26  dt: 296.85
190 at: 285.72  st: 288.91  vt: 9.83  dt: 298.74
192 at: 292.33  st: 292.33  vt: 6.85  dt: 299.17
198 at: 299.72  st: 299.72  vt: 2.16  dt: 301.88
199 at: 302.02  st: 302.02  vt: 1.25  dt: 303.26
197 at: 298.81  st: 298.81  vt: 5.23  dt: 304.04
185 at: 273.70  st: 274.20  vt: 33.26  dt: 307.46
194 at: 292.82  st: 293.04  vt: 16.33  dt: 309.37
203 at: 309.80  st: 309.80  vt: 0.18  dt: 309.98
180 at: 268.49  st: 268.49  vt: 46.62  dt: 315.11
206 at: 312.57  st: 315.11  vt: 0.43  dt: 315.53
186 at: 278.36  st: 278.36  vt: 39.35  dt: 317.71
208 at: 316.02  st: 317.71  vt: 1.43  dt: 319.15
204 at: 311.02  st: 311.02  vt: 12.04  dt: 323.05
200 at: 305.72  st: 305.72  vt: 18.25  dt: 323.96
196 at: 296.73  st: 296.73  vt: 27.30  dt: 324.04
211 at: 318.13  st: 323.96  vt: 2.29  dt: 326.25
205 at: 311.68  st: 311.68  vt: 15.61  dt: 327.29
202 at: 307.71  st: 307.71  vt: 20.54  dt: 328.26
209 at: 316.14  st: 319.15  vt: 11.70  dt: 330.85
216 at: 327.18  st: 330.85  vt: 0.05  dt: 330.91
207 at: 313.20  st: 315.53  vt: 15.48  dt: 331.01
201 at: 307.14  st: 307.14  vt: 25.52  dt: 332.66
217 at: 327.26  st: 330.91  vt: 2.31  dt: 333.21
219 at: 330.57  st: 332.66  vt: 1.46  dt: 334.11
221 at: 332.49  st: 334.11  vt: 0.13  dt: 334.25
212 at: 319.82  st: 324.04  vt: 10.52  dt: 334.55
215 at: 325.35  st: 328.26  vt: 6.32  dt: 334.57
218 at: 329.60  st: 331.01  vt: 6.21  dt: 337.22
220 at: 331.32  st: 333.21  vt: 12.64  dt: 345.85
225 at: 342.89  st: 342.89  vt: 3.89  dt: 346.78
210 at: 316.32  st: 323.05  vt: 24.76  dt: 347.82
214 at: 325.11  st: 327.29  vt: 21.06  dt: 348.35
226 at: 343.86  st: 345.85  vt: 2.51  dt: 348.35
228 at: 347.03  st: 347.82  vt: 2.03  dt: 349.84
222 at: 334.37  st: 334.37  vt: 16.44  dt: 350.81
