**** trial 0 ****
0 at: 2.95  st: 2.95  vt: 11.62  dt: 14.56
1 at: 4.98  st: 14.56  vt: 1.48  dt: 16.04
2 at: 6.65  st: 16.04  vt: 2.49  dt: 18.53
3 at: 11.22  st: 18.53  vt: 1.77  dt: 20.30
4 at: 11.46  st: 20.30  vt: 6.40  dt: 26.71
5 at: 16.49  st: 26.71  vt: 5.29  dt: 32.00
6 at: 19.59  st: 32.00  vt: 2.02  dt: 34.01
7 at: 19.91  st: 34.01  vt: 2.51  dt: 36.52
8 at: 20.36  st: 36.52  vt: 4.24  dt: 40.76
9 at: 22.67  st: 40.76  vt: 4.62  dt: 45.38
10 at: 25.65  st: 45.38  vt: 3.07  dt: 48.45
11 at: 27.35  st: 48.45  vt: 0.52  dt: 48.98
12 at: 28.06  st: 48.98  vt: 0.33  dt: 49.30
13 at: 28.38  st: 49.30  vt: 0.04  dt: 49.34
14 at: 29.34  st: 49.34  vt: 0.73  dt: 50.07
15 at: 29.88  st: 50.07  vt: 0.73  dt: 50.80
16 at: 33.17  st: 50.80  vt: 5.76  dt: 56.56
17 at: 35.83  st: 56.56  vt: 8.96  dt: 65.52
18 at: 36.26  st: 65.52  vt: 5.99  dt: 71.51
19 at: 37.51  st: 71.51  vt: 1.98  dt: 73.49
20 at: 37.77  st: 73.49  vt: 16.73  dt: 90.22
21 at: 37.91  st: 90.22  vt: 1.41  dt: 91.63
22 at: 38.16  st: 91.63  vt: 5.13  dt: 96.76
23 at: 39.27  st: 96.76  vt: 0.85  dt: 97.61
24 at: 45.62  st: 97.61  vt: 5.98  dt: 103.58
25 at: 45.89  st: 103.58  vt: 0.33  dt: 103.91
26 at: 49.31  st: 103.91  vt: 2.64  dt: 106.55
27 at: 50.47  st: 106.55  vt: 8.43  dt: 114.98
28 at: 50.58  st: 114.98  vt: 11.33  dt: 126.31
29 at: 50.85  st: 126.31  vt: 10.11  dt: 136.42
30 at: 53.08  st: 136.42  vt: 11.63  dt: 148.05
31 at: 53.17  st: 148.05  vt: 10.61  dt: 158.65
32 at: 55.96  st: 158.65  vt: 0.52  dt: 159.17
33 at: 56.38  st: 159.17  vt: 5.59  dt: 164.77
34 at: 57.93  st: 164.77  vt: 8.64  dt: 173.41
35 at: 59.68  st: 173.41  vt: 0.26  dt: 173.67
36 at: 61.01  st: 173.67  vt: 8.72  dt: 182.39
37 at: 63.03  st: 182.39  vt: 0.96  dt: 183.35
38 at: 63.63  st: 183.35  vt: 0.31  dt: 183.66
39 at: 63.76  st: 183.66  vt: 1.32  dt: 184.98
40 at: 63.99  st: 184.98  vt: 2.20  dt: 187.18
41 at: 64.48  st: 187.18  vt: 5.10  dt: 192.28
42 at: 67.46  st: 192.28  vt: 2.45  dt: 194.73
43 at: 67.62  st: 194.73  vt: 0.79  dt: 195.52
44 at: 68.82  st: 195.52  vt: 2.25  dt: 197.76
45 at: 70.51  st: 197.76  vt: 3.70  dt: 201.46
46 at: 74.30  st: 201.46  vt: 2.61  dt: 204.07
47 at: 74.68  st: 204.07  vt: 4.65  dt: 208.71
48 at: 75.18  st: 208.71  vt: 11.54  dt: 220.26
49 at: 75.37  st: 220.26  vt: 8.63  dt: 228.89
50 at: 75.48  st: 228.89  vt: 0.38  dt: 229.27
51 at: 76.19  st: 229.27  vt: 2.65  dt: 231.92
52 at: 78.82  st: 231.92  vt: 2.94  dt: 234.86
53 at: 79.22  st: 234.86  vt: 14.12  dt: 248.98
54 at: 80.03  st: 248.98  vt: 1.06  dt: 250.05
55 at: 82.21  st: 250.05  vt: 5.98  dt: 256.03
56 at: 82.83  st: 256.03  vt: 7.81  dt: 263.84
57 at: 86.62  st: 263.84  vt: 0.06  dt: 263.90
58 at: 88.17  st: 263.90  vt: 10.16  dt: 274.06
59 at: 88.44  st: 274.06  vt: 1.22  dt: 275.29
60 at: 89.95  st: 275.29  vt: 1.26  dt: 276.55
61 at: 90.38  st: 276.55  vt: 2.47  dt: 279.02
62 at: 90.72  st: 279.02  vt: 5.34  dt: 284.36
63 at: 90.81  st: 284.36  vt: 0.21  dt: 284.58
64 at: 91.00  st: 284.58  vt: 0.89  dt: 285.46
65 at: 95.41  st: 285.46  vt: 9.30  dt: 294.77
66 at: 98.64  st: 294.77  vt: 2.90  dt: 297.67
67 at: 99.94  st: 297.67  vt: 6.17  dt: 303.84
68 at: 100.22  st: 303.84  vt: 1.53  dt: 305.37
69 at: 100.39  st: 305.37  vt: 0.28  dt: 305.65
70 at: 103.49  st: 305.65  vt: 3.75  dt: 309.39
71 at: 104.34  st: 309.39  vt: 3.65  dt: 313.04
72 at: 106.59  st: 313.04  vt: 14.92  dt: 327.96
73 at: 107.19  st: 327.96  vt: 1.42  dt: 329.38
74 at: 107.33  st: 329.38  vt: 0.89  dt: 330.27
75 at: 107.73  st: 330.27  vt: 8.19  dt: 338.46
76 at: 110.21  st: 338.46  vt: 5.57  dt: 344.03
77 at: 113.99  st: 344.03  vt: 1.37  dt: 345.40
78 at: 114.01  st: 345.40  vt: 1.92  dt: 347.32
79 at: 115.99  st: 347.32  vt: 8.32  dt: 355.64
80 at: 117.08  st: 355.64  vt: 1.23  dt: 356.87
81 at: 117.49  st: 356.87  vt: 25.32  dt: 382.18
82 at: 117.73  st: 382.18  vt: 8.18  dt: 390.37
83 at: 120.71  st: 390.37  vt: 4.55  dt: 394.92
84 at: 122.13  st: 394.92  vt: 1.56  dt: 396.48
85 at: 124.60  st: 396.48  vt: 8.78  dt: 405.26
86 at: 125.01  st: 405.26  vt: 1.46  dt: 406.72
87 at: 125.83  st: 406.72  vt: 1.41  dt: 408.13
88 at: 127.30  st: 408.13  vt: 5.10  dt: 413.23
89 at: 128.77  st: 413.23  vt: 1.72  dt: 414.95
90 at: 130.37  st: 414.95  vt: 3.75  dt: 418.70
91 at: 130.94  st: 418.70  vt: 3.34  dt: 422.05
92 at: 133.29  st: 422.05  vt: 8.76  dt: 430.80
93 at: 137.64  st: 430.80  vt: 8.13  dt: 438.93
94 at: 137.76  st: 438.93  vt: 4.12  dt: 443.06
95 at: 141.99  st: 443.06  vt: 2.11  dt: 445.17
96 at: 143.49  st: 445.17  vt: 3.47  dt: 448.64
97 at: 144.13  st: 448.64  vt: 4.16  dt: 452.80
98 at: 147.52  st: 452.80  vt: 0.18  dt: 452.98
99 at: 149.04  st: 452.98  vt: 4.52  dt: 457.49
100 at: 149.67  st: 457.49  vt: 1.24  dt: 458.74
101 at: 150.93  st: 458.74  vt: 13.99  dt: 472.73
102 at: 152.13  st: 472.73  vt: 1.14  dt: 473.87
103 at: 152.74  st: 473.87  vt: 3.33  dt: 477.19
104 at: 152.89  st: 477.19  vt: 4.41  dt: 481.60
105 at: 152.93  st: 481.60  vt: 7.45  dt: 489.05
106 at: 153.55  st: 489.05  vt: 1.65  dt: 490.70
107 at: 155.94  st: 490.70  vt: 0.19  dt: 490.89
108 at: 157.56  st: 490.89  vt: 8.92  dt: 499.81
109 at: 158.13  st: 499.81  vt: 6.15  dt: 505.96
110 at: 159.79  st: 505.96  vt: 1.59  dt: 507.56
111 at: 166.69  st: 507.56  vt: 2.34  dt: 509.89
112 at: 168.78  st: 509.89  vt: 14.91  dt: 524.80
113 at: 170.36  st: 524.80  vt: 5.76  dt: 530.56
114 at: 170.45  st: 530.56  vt: 0.91  dt: 531.47
115 at: 174.54  st: 531.47  vt: 2.21  dt: 533.68
116 at: 175.54  st: 533.68  vt: 0.88  dt: 534.56
117 at: 176.27  st: 534.56  vt: 8.06  dt: 542.62
118 at: 177.12  st: 542.62  vt: 2.86  dt: 545.48
119 at: 177.31  st: 545.48  vt: 0.31  dt: 545.79
120 at: 178.03  st: 545.79  vt: 18.36  dt: 564.15
121 at: 179.25  st: 564.15  vt: 17.12  dt: 581.27
122 at: 180.28  st: 581.27  vt: 8.16  dt: 589.43
123 at: 181.59  st: 589.43  vt: 5.29  dt: 594.72
124 at: 181.85  st: 594.72  vt: 10.07  dt: 604.79
125 at: 182.83  st: 604.79  vt: 5.19  dt: 609.98
126 at: 185.33  st: 609.98  vt: 1.01  dt: 611.00
127 at: 187.48  st: 611.00  vt: 0.56  dt: 611.55
128 at: 187.51  st: 611.55  vt: 0.18  dt: 611.74
129 at: 188.91  st: 611.74  vt: 0.12  dt: 611.86
130 at: 189.67  st: 611.86  vt: 1.05  dt: 612.91
131 at: 190.15  st: 612.91  vt: 10.48  dt: 623.40
132 at: 190.38  st: 623.40  vt: 8.66  dt: 632.06
133 at: 192.17  st: 632.06  vt: 17.42  dt: 649.48
134 at: 192.53  st: 649.48  vt: 2.92  dt: 652.39
135 at: 194.85  st: 652.39  vt: 1.36  dt: 653.75
136 at: 194.97  st: 653.75  vt: 8.95  dt: 662.71
137 at: 195.49  st: 662.71  vt: 4.39  dt: 667.10
