**** trial 0 ****
0 at: 2.95  st: 2.95  vt: 11.62  dt: 14.56
1 at: 4.98  st: 4.98  vt: 1.48  dt: 6.45
2 at: 6.65  st: 6.65  vt: 2.49  dt: 9.14
3 at: 11.22  st: 11.22  vt: 1.77  dt: 12.99
4 at: 11.46  st: 11.46  vt: 6.40  dt: 17.87
5 at: 16.49  st: 16.49  vt: 5.29  dt: 21.78
6 at: 19.59  st: 19.59  vt: 2.02  dt: 21.61
7 at: 19.91  st: 19.91  vt: 2.51  dt: 22.41
8 at: 20.36  st: 21.61  vt: 4.24  dt: 25.85
9 at: 22.67  st: 22.67  vt: 4.62  dt: 27.29
10 at: 25.65  st: 25.65  vt: 3.07  dt: 28.73
11 at: 27.35  st: 27.35  vt: 0.52  dt: 27.87
12 at: 28.06  st: 28.06  vt: 0.33  dt: 28.39
13 at: 28.38  st: 28.38  vt: 0.04  dt: 28.42
14 at: 29.34  st: 29.34  vt: 0.73  dt: 30.07
15 at: 29.88  st: 29.88  vt: 0.73  dt: 30.61
16 at: 33.17  st: 33.17  vt: 5.76  dt: 38.93
17 at: 35.83  st: 35.83  vt: 8.96  dt: 44.78
18 at: 36.26  st: 36.26  vt: 5.99  dt: 42.26
19 at: 37.51  st: 38.93  vt: 1.98  dt: 40.91
20 at: 37.77  st: 40.91  vt: 16.73  dt: 57.64
21 at: 37.91  st: 42.26  vt: 1.41  dt: 43.66
22 at: 38.16  st: 43.66  vt: 5.13  dt: 48.79
23 at: 39.27  st: 44.78  vt: 0.85  dt: 45.64
24 at: 45.62  st: 45.64  vt: 5.98  dt: 51.61
25 at: 45.89  st: 48.79  vt: 0.33  dt: 49.12
26 at: 49.31  st: 49.31  vt: 2.64  dt: 51.95
27 at: 50.47  st: 51.61  vt: 8.43  dt: 60.04
28 at: 50.58  st: 51.95  vt: 11.33  dt: 63.28
29 at: 50.85  st: 57.64  vt: 10.11  dt: 67.75
30 at: 53.08  st: 60.04  vt: 11.63  dt: 71.67
31 at: 53.17  st: 63.28  vt: 10.61  dt: 73.89
32 at: 55.96  st: 67.75  vt: 0.52  dt: 68.27
33 at: 56.38  st: 68.27  vt: 5.59  dt: 73.86
34 at: 57.93  st: 71.67  vt: 8.64  dt: 80.31
35 at: 59.68  st: 73.86  vt: 0.26  dt: 74.12
36 at: 61.01  st: 73.89  vt: 8.72  dt: 82.61
37 at: 63.03  st: 74.12  vt: 0.96  dt: 75.08
38 at: 63.63  st: 75.08  vt: 0.31  dt: 75.39
39 at: 63.76  st: 75.39  vt: 1.32  dt: 76.71
40 at: 63.99  st: 76.71  vt: 2.20  dt: 78.92
41 at: 64.48  st: 78.92  vt: 5.10  dt: 84.01
42 at: 67.46  st: 80.31  vt: 2.45  dt: 82.76
